Spectrum	Date	Time	CH4 (PF) 191c	CH4 (PF) 191c average	CH4 (PF) 191c stdev	CH4 high%	CH4 high% average	CH4 high% stdev	CO ppm 191C (1of2)	CO ppm 191C (1of2) average	CO ppm 191C (1of2) stdev	CO2 ppm 191c	CO2 ppm 191c average	CO2 ppm 191c stdev	CO2% 191c	CO2% 191c average	CO2% 191c stdev	H2O% 191C	H2O% 191C average	H2O% 191C stdev	H2O ppm 191c	H2O ppm 191c average	H2O ppm 191c stdev	HCL 191C	HCL 191C average	HCL 191C stdev	Formaldehyde 191c	Formaldehyde 191c average	Formaldehyde 191c stdev	Formic acid 191C	Formic acid 191C average	Formic acid 191C stdev	Methyl chloride 191c	Methyl chloride 191c average	Methyl chloride 191c stdev	Temp (C)	Temp (C) average	Temp (C) stdev	Pressure (Atm)	Pressure (Atm) average	Pressure (Atm) stdev	CH4 autorange	CH4 autorange average	CH4 autorange stdev	CO2 autorange	CO2 autorange average	CO2 autorange stdev	Igram DC	Igram DC average	Igram DC stdev	Igram PP	Igram PP average	Igram PP stdev	phase Angle	phase Angle average	phase Angle stdev	laser PP	laser PP average	laser PP stdev	laser DC	laser DC average	laser DC stdev	Bad Scan counter	Bad Scan counter average	Bad Scan counter stdev	Centerburst Location	Centerburst Location average	Centerburst Location stdev	Linearizer Check	Linearizer Check average	Linearizer Check stdev	SNR 2500	SNR 2500 average	SNR 2500 stdev	sBeam @ 2500	sBeam @ 2500 average	sBeam @ 2500 stdev	
FTIR_006266.LAB	1/30/2025	11:53:32.190	-2193.782132	-2193.782227	NaN	0.003479	0.003479	NaN	9.833662	9.833662	NaN	180.651960	180.651962	NaN	0.125467	0.125467	NaN	1.236439	1.236439	NaN	19732.999618	19733.000000	NaN	1.550807	1.550807	NaN	0.984245	0.984245	NaN	-0.075938	-0.075938	NaN	-988.350602	-988.350586	NaN	191.003540	191.003540	NaN	1.009967	1.009967	NaN	-2193.782132	-2193.782227	NaN	180.651960	180.651962	NaN	2.970829	2.970829	NaN	4.148673	4.148673	NaN	86.190453	86.190453	NaN	4.845139	4.845139	NaN	-3.314286	-3.314286	NaN	0.000000	0.000000	NaN	600.801208	600.801208	NaN	0.002660	0.002660	NaN	NaN	NaN	NaN	0.675953	0.675953	NaN
FTIR_006267.LAB	1/30/2025	11:53:45.029	-2.717943	-1098.250122	1549.316406	-0.004858	-0.000690	0.005896	10.935477	10.384569	0.779101	165.334473	172.993225	10.831100	0.039382	0.082425	0.060871	1.923879	1.580159	0.486094	1097.520037	10415.259766	13177.274414	0.677127	1.113966	0.617785	-0.061842	0.461202	0.739695	-0.125661	-0.100800	0.035159	5.752709	-491.298950	702.937195	191.003540	191.003540	0.000000	1.009967	1.009967	0.000000	-2.717943	-1098.250122	1549.316406	165.334473	172.993225	10.831100	2.965048	2.967938	0.004088	4.148667	4.148670	0.000004	86.270370	86.230408	0.056510	4.910918	4.878029	0.046513	-3.294506	-3.304396	0.013987	0.000000	0.000000	0.000000	600.802979	600.802124	0.001252	0.002750	0.002705	0.000064	2086.248047	NaN	NaN	0.675265	0.675609	0.000487
FTIR_006268.LAB	1/30/2025	11:53:57.919	-2.895216	-733.131836	1264.960327	-0.007116	-0.002832	0.005581	11.340155	10.703098	0.779667	166.075912	170.687454	8.637481	0.033126	0.065992	0.051602	1.923267	1.694528	0.396717	604.226811	7144.915527	10904.390625	0.892988	1.040307	0.455089	0.159379	0.360594	0.551308	-0.167048	-0.122882	0.045618	7.135035	-325.154297	574.345276	191.003540	191.003540	0.000000	1.009967	1.009967	0.000000	-2.895216	-733.131836	1264.960327	166.075912	170.687454	8.637481	2.961988	2.965955	0.004490	4.149947	4.149096	0.000737	87.029579	86.496796	0.463127	4.786284	4.847447	0.062349	-3.287912	-3.298901	0.013725	0.000000	0.000000	0.000000	600.805786	600.803345	0.002308	0.002674	0.002694	0.000048	2146.177002	NaN	NaN	0.674837	0.675351	0.000563
FTIR_006269.LAB	1/30/2025	11:54:10.703	-3.083977	-550.619873	1095.441528	-0.007415	-0.003977	0.005100	11.529940	10.909809	0.759059	166.865738	169.732025	7.306761	0.011513	0.052372	0.050171	1.928492	1.753019	0.344395	610.426267	5511.292969	9483.953125	1.012664	1.033396	0.371836	0.022766	0.276137	0.480790	0.016384	-0.088066	0.078969	8.263700	-241.799805	497.701599	191.003540	191.003540	0.000000	1.009967	1.009967	0.000000	-3.083977	-550.619873	1095.441528	166.865738	169.732025	7.306761	2.956619	2.963621	0.005935	4.148290	4.148894	0.000724	86.470161	86.490135	0.378376	4.924767	4.866777	0.063923	-3.298901	-3.298901	0.011207	0.000000	0.000000	0.000000	600.808655	600.804687	0.003264	0.002746	0.002707	0.000047	1619.333130	NaN	NaN	0.674448	0.675125	0.000645
FTIR_006270.LAB	1/30/2025	11:54:23.542	-3.226962	-441.141296	979.756104	-0.005833	-0.004348	0.004494	10.833039	10.894455	0.658260	167.884662	169.362549	6.381545	0.017718	0.045441	0.046131	1.934032	1.789222	0.309045	531.521980	4515.338867	8509.915039	0.939748	1.014667	0.324731	-0.031954	0.214519	0.438581	-0.054992	-0.081451	0.069970	8.963615	-191.647125	445.372467	190.979691	190.998764	0.010666	1.009967	1.009967	0.000000	-3.226962	-441.141296	979.756104	167.884662	169.362549	6.381545	2.951661	2.961229	0.007418	4.147195	4.148554	0.000985	86.789833	86.550072	0.354033	4.845139	4.862450	0.056198	-3.305495	-3.300220	0.010143	0.000000	0.000000	0.000000	600.808228	600.805359	0.003247	0.002622	0.002690	0.000056	1541.842651	NaN	NaN	0.674107	0.674922	0.000720
FTIR_006271.LAB	1/30/2025	11:54:36.385	-2.917528	-368.104004	894.396057	-0.008338	-0.005013	0.004337	11.508547	10.996803	0.639919	168.837206	169.274994	5.711855	0.047618	0.045804	0.041270	1.925227	1.811889	0.281940	515.163372	3848.642822	7784.717773	1.055435	1.021461	0.290925	0.182436	0.209172	0.392497	0.009187	-0.066345	0.072704	9.533292	-158.117050	406.731934	190.946320	190.990036	0.023442	1.009967	1.009967	0.000000	-2.917528	-368.104004	894.396057	168.837206	169.274994	5.711855	2.947975	2.959020	0.008562	4.147235	4.148335	0.001033	86.070580	86.470154	0.372279	4.890146	4.867066	0.051521	-3.276923	-3.296337	0.013144	0.000000	0.000000	0.000000	600.808838	600.805969	0.003231	0.002567	0.002670	0.000071	1353.853149	NaN	NaN	0.673590	0.674700	0.000843
FTIR_006272.LAB	1/30/2025	11:54:49.216	-2.555890	-315.882843	828.075867	-0.003770	-0.004836	0.003987	11.359279	11.048585	0.600014	167.483477	169.019058	5.257970	0.036782	0.044515	0.037828	1.942657	1.830570	0.262078	566.858667	3379.816650	7213.883301	1.017467	1.020891	0.265581	-0.021179	0.176265	0.368726	-0.092053	-0.070017	0.067077	8.374312	-134.332565	376.588593	190.934570	190.982101	0.029955	1.009967	1.009967	0.000000	-2.555890	-315.882843	828.075867	167.483477	169.019058	5.257970	2.945647	2.957110	0.009308	4.147960	4.148281	0.000954	86.629997	86.492989	0.345170	4.924767	4.875309	0.051843	-3.254945	-3.290424	0.019716	0.000000	0.000000	0.000000	600.814026	600.807129	0.004245	0.002715	0.002676	0.000067	1799.047607	NaN	NaN	0.673817	0.674574	0.000839
FTIR_006273.LAB	1/30/2025	11:55:02.053	-2.806492	-276.748291	774.598694	-0.009079	-0.005366	0.003985	11.262199	11.075287	0.560616	166.056780	168.648773	4.979325	0.019791	0.041425	0.036097	1.931858	1.843231	0.245265	547.194230	3025.738770	6753.426758	0.977890	1.015516	0.246350	0.089609	0.165433	0.342746	-0.126187	-0.077038	0.065199	9.163487	-116.395561	352.325134	190.908173	190.972870	0.038110	1.009967	1.009967	0.000000	-2.806492	-276.748291	774.598694	166.056780	168.648773	4.979325	2.942675	2.955305	0.010015	4.149076	4.148380	0.000926	86.550079	86.500122	0.320202	4.824367	4.868941	0.051265	-3.283516	-3.289561	0.018416	0.000000	0.000000	0.000000	600.811340	600.807678	0.004206	0.002640	0.002672	0.000063	1486.780518	NaN	NaN	0.673595	0.674451	0.000850
FTIR_006274.LAB	1/30/2025	11:55:14.896	-2.787176	-246.308167	730.302856	-0.009906	-0.005871	0.004023	10.813419	11.046190	0.531623	167.068835	168.473221	4.687411	0.055158	0.042951	0.034074	1.924122	1.852219	0.231003	543.266408	2749.908447	6371.218262	0.914191	1.004257	0.232901	-0.009059	0.146045	0.325842	0.004832	-0.067942	0.066816	8.806778	-102.484192	332.201935	190.908173	190.965683	0.041663	1.009967	1.009967	0.000000	-2.787176	-246.308167	730.302856	167.068835	168.473221	4.687411	2.940310	2.953639	0.010618	4.148811	4.148428	0.000878	86.829788	86.536751	0.319042	4.966311	4.879760	0.057905	-3.296703	-3.290354	0.017391	0.000000	0.000000	0.000000	600.813049	600.808289	0.004329	0.002698	0.002675	0.000060	1682.181152	NaN	NaN	0.672966	0.674286	0.000937
FTIR_006275.LAB	1/30/2025	11:55:27.728	-3.073006	-221.984650	692.819153	-0.006483	-0.005932	0.003798	11.429159	11.084487	0.515642	168.331722	168.459076	4.419560	0.033745	0.042030	0.032257	1.941267	1.861124	0.219605	551.797389	2530.097168	6046.926758	0.931536	0.996985	0.220782	0.006956	0.132136	0.310340	-0.049222	-0.066070	0.063272	8.739590	-91.361816	315.171692	190.910614	190.960175	0.042967	1.009967	1.009967	0.000000	-3.073006	-221.984650	692.819153	168.331722	168.459076	4.419560	2.938046	2.952080	0.011160	4.149003	4.148486	0.000848	86.190453	86.502121	0.320111	5.042476	4.896031	0.075021	-3.285714	-3.289890	0.016462	0.000000	0.000000	0.000000	600.813477	600.808777	0.004405	0.002777	0.002685	0.000065	1729.933228	NaN	NaN	0.672780	0.674136	0.001004
