Data from HR4C17961__0__18-09-24-122.txt Node

Date: Tue Jan 27 18:09:24 PST 2026
User: Hanson
Spectrometer: HR4C1796
Trigger mode: 4
Integration Time (sec): 5.000000E-2
Scans to average: 10
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
323.441	-36.37
323.507	-36.37
323.572	-36.37
323.638	-20.37
323.704	-2.87
323.769	-1.77
323.835	1.13
323.901	-1.27
323.966	-1.47
324.032	-0.47
324.098	1.43
324.163	1.43
324.229	2.03
324.295	1.33
324.36	5.33
324.426	1.83
324.492	-4.87
324.557	-4.67
324.623	5.53
324.689	-2.07
324.754	1.53
324.82	4.93
324.886	5.93
324.951	0.73
325.017	6.83
325.082	1.83
325.148	5.53
325.214	2.93
325.279	1.53
325.345	4.33
325.41	7.53
325.476	2.83
325.542	8.83
325.607	1.03
325.673	4.83
325.738	0.83
325.804	1.33
325.87	9.83
325.935	7.33
326.001	5.03
326.066	5.23
326.132	-0.87
326.198	7.13
326.263	10.13
326.329	7.23
326.394	1.23
326.46	5.63
326.525	2.03
326.591	7.43
326.657	2.13
326.722	0.43
326.788	0.13
326.853	-0.17
326.919	3.93
326.984	6.13
327.05	0.03
327.115	-0.17
327.181	6.33
327.247	4.03
327.312	10.23
327.378	14.83
327.443	9.03
327.509	9.13
327.574	-0.47
327.64	5.23
327.705	8.93
327.771	5.73
327.836	2.53
327.902	5.83
327.967	6.73
328.033	-2.47
328.098	5.93
328.164	4.53
328.229	-0.57
328.295	4.03
328.36	0.43
328.426	4.83
328.491	5.13
328.557	-0.57
328.622	2.73
328.688	11.63
328.753	5.93
328.819	2.83
328.884	8.13
328.95	6.63
329.015	8.33
329.081	8.63
329.146	4.43
329.211	5.33
329.277	9.13
329.342	1.83
329.408	4.43
329.473	2.03
329.539	4.43
329.604	7.23
329.67	9.33
329.735	6.53
329.8	6.03
329.866	3.43
329.931	5.03
329.997	5.63
330.062	4.13
330.128	2.73
330.193	4.03
330.258	10.53
330.324	5.53
330.389	5.73
330.455	4.73
330.52	10.53
330.585	0.23
330.651	9.93
330.716	3.83
330.782	1.83
330.847	3.93
330.912	-0.47
330.978	4.43
331.043	6.63
331.109	1.23
331.174	7.83
331.239	3.83
331.305	12.43
331.37	2.83
331.435	3.93
331.501	-3.87
331.566	5.13
331.632	3.23
331.697	16.13
331.762	10.93
331.828	6.03
331.893	4.33
331.958	5.53
332.024	1.83
332.089	4.43
332.154	5.73
332.22	4.13
332.285	5.63
332.35	7.53
332.416	8.83
332.481	11.33
332.546	8.63
332.612	3.83
332.677	4.93
332.742	5.33
332.808	1.63
332.873	4.03
332.938	7.43
333.003	7.23
333.069	8.83
333.134	1.93
333.199	3.43
333.265	4.73
333.33	7.03
333.395	6.13
333.461	9.63
333.526	5.03
333.591	1.83
333.656	8.03
333.722	7.03
333.787	11.03
333.852	2.93
333.917	5.83
333.983	5.13
334.048	9.23
334.113	6.93
334.178	7.43
334.244	5.23
334.309	2.93
334.374	9.33
334.439	8.73
334.505	5.63
334.57	10.33
334.635	4.63
334.7	2.13
334.766	8.73
334.831	6.43
334.896	1.33
334.961	4.83
335.027	0.93
335.092	-0.37
335.157	7.83
335.222	10.83
335.287	10.93
335.353	6.93
335.418	2.83
335.483	3.63
335.548	2.53
335.613	3.33
335.679	2.83
335.744	-0.07
335.809	4.93
335.874	9.23
335.939	7.43
336.005	10.03
336.07	4.13
336.135	4.13
336.2	6.13
336.265	10.53
336.33	9.33
336.396	10.33
336.461	6.03
336.526	6.63
336.591	10.33
336.656	11.03
336.721	9.33
336.787	7.33
336.852	5.93
336.917	7.63
336.982	7.73
337.047	7.03
337.112	4.73
337.177	2.73
337.243	0.83
337.308	3.33
337.373	2.83
337.438	2.83
337.503	3.03
337.568	2.43
337.633	3.83
337.698	9.43
337.763	4.33
337.829	5.63
337.894	1.63
337.959	3.03
338.024	3.03
338.089	2.13
338.154	13.03
338.219	10.23
338.284	6.03
338.349	4.03
338.414	4.33
338.479	6.23
338.545	5.23
338.61	5.03
338.675	4.83
338.74	7.63
338.805	7.43
338.87	11.03
338.935	6.43
339	9.63
339.065	6.23
339.13	4.73
339.195	5.53
339.26	6.03
339.325	2.53
339.39	3.13
