Spectrum	Date	Time	CH4 (PF) 191c	CH4 (PF) 191c average	CH4 (PF) 191c stdev	CH4 high%	CH4 high% average	CH4 high% stdev	CO ppm 191C (1of2)	CO ppm 191C (1of2) average	CO ppm 191C (1of2) stdev	CO2 ppm 191c	CO2 ppm 191c average	CO2 ppm 191c stdev	CO2% 191c	CO2% 191c average	CO2% 191c stdev	H2O% 191C	H2O% 191C average	H2O% 191C stdev	H2O ppm 191c	H2O ppm 191c average	H2O ppm 191c stdev	HCL 191C	HCL 191C average	HCL 191C stdev	Formaldehyde 191c	Formaldehyde 191c average	Formaldehyde 191c stdev	Formic acid 191C	Formic acid 191C average	Formic acid 191C stdev	Methyl chloride 191c	Methyl chloride 191c average	Methyl chloride 191c stdev	Temp (C)	Temp (C) average	Temp (C) stdev	Pressure (Atm)	Pressure (Atm) average	Pressure (Atm) stdev	CH4 autorange	CH4 autorange average	CH4 autorange stdev	CO2 autorange	CO2 autorange average	CO2 autorange stdev	Igram DC	Igram DC average	Igram DC stdev	Igram PP	Igram PP average	Igram PP stdev	phase Angle	phase Angle average	phase Angle stdev	laser PP	laser PP average	laser PP stdev	laser DC	laser DC average	laser DC stdev	Bad Scan counter	Bad Scan counter average	Bad Scan counter stdev	Centerburst Location	Centerburst Location average	Centerburst Location stdev	Linearizer Check	Linearizer Check average	Linearizer Check stdev	SNR 2500	SNR 2500 average	SNR 2500 stdev	sBeam @ 2500	sBeam @ 2500 average	sBeam @ 2500 stdev	
FTIR_000000BKG.LAB	10/22/2024	06:24:12.342	0.000000	0.000000	NaN	-0.000000	-0.000000	NaN	0.000000	0.000000	NaN	-0.000000	-0.000000	NaN	-0.000000	-0.000000	NaN	-0.000000	-0.000000	NaN	-0.000000	-0.000000	NaN	-0.000000	-0.000000	NaN	-0.000000	-0.000000	NaN	-0.000000	-0.000000	NaN	-0.000000	-0.000000	NaN	191.014465	191.014465	NaN	1.010951	1.010951	NaN	0.000000	0.000000	NaN	-0.000000	-0.000000	NaN	4.310594	4.310594	NaN	4.257530	4.257530	NaN	85.351326	85.351326	NaN	4.893608	4.893608	NaN	-3.320879	-3.320879	NaN	0.000000	0.000000	NaN	559.684387	559.684387	NaN	0.001937	0.001937	NaN	NaN	NaN	NaN	0.688085	0.688085	NaN
FTIR_000001.LAB	10/22/2024	06:26:33.909	456.096458	228.048233	322.508911	0.003023	0.001511	0.002137	-0.179138	-0.089569	0.126669	-13.613658	-6.806829	9.626309	0.017897	0.008949	0.012655	-0.003888	-0.001944	0.002749	-2.595815	-1.297908	1.835518	-0.105575	-0.052787	0.074652	-0.039617	-0.019809	0.028013	0.016349	0.008174	0.011560	114.650174	57.325089	81.069916	191.042175	191.028320	0.019594	1.010951	1.010951	0.000000	456.096458	228.048233	322.508911	-13.613658	-6.806829	9.626309	4.309277	4.309935	0.000931	4.228369	4.242949	0.020620	85.750908	85.551117	0.282547	4.824367	4.858988	0.048961	-3.294506	-3.307693	0.018649	0.000000	0.000000	0.000000	559.681519	559.682983	0.002029	0.001791	0.001864	0.000103	NaN	NaN	NaN	0.684438	0.686261	0.002579
FTIR_000002.LAB	10/22/2024	06:26:46.749	0.677354	152.257950	263.132111	-0.000444	0.000860	0.001886	0.100176	-0.026320	0.141505	-1.271685	-4.961781	7.519676	0.004586	0.007495	0.009296	-0.005011	-0.002966	0.002630	0.759034	-0.612260	1.759233	0.020888	-0.028229	0.067792	-0.105186	-0.048268	0.053124	0.006489	0.007612	0.008232	-0.192865	38.152439	66.249054	191.024734	191.027115	0.014009	1.003241	1.008381	0.004451	0.677354	152.257950	263.132111	-1.271685	-4.961781	7.519676	4.332620	4.317497	0.013113	4.214211	4.233370	0.022089	85.471199	85.524475	0.205050	4.955925	4.891300	0.065809	-3.312088	-3.309158	0.013429	0.000000	0.000000	0.000000	559.683167	559.683044	0.001440	0.001815	0.001848	0.000078	1390.670532	NaN	NaN	0.684325	0.685616	0.002139
FTIR_000003.LAB	10/22/2024	06:26:59.576	-0.465004	114.077209	228.013336	0.001401	0.000995	0.001564	0.152438	0.018369	0.146074	-0.540516	-3.856465	6.525635	0.015878	0.009590	0.008671	0.001452	-0.001862	0.003081	2.302133	0.116338	2.046140	-0.042949	-0.031909	0.055839	0.028566	-0.029059	0.057942	0.008860	0.007924	0.006750	0.644554	28.775467	57.250927	190.984467	191.016449	0.024203	1.003241	1.007096	0.004451	-0.465004	114.077209	228.013336	-0.540516	-3.856465	6.525635	4.332331	4.321205	0.013025	4.212934	4.228261	0.020729	86.190453	85.690971	0.372708	4.897070	4.892743	0.053810	-3.323077	-3.312638	0.012987	0.000000	0.000000	0.000000	559.681335	559.682617	0.001447	0.001789	0.001833	0.000071	1882.382202	NaN	NaN	0.684472	0.685330	0.001838
FTIR_000004.LAB	10/22/2024	06:27:12.408	0.302076	91.322182	203.915451	-0.001687	0.000459	0.001809	0.687761	0.152248	0.324993	4.131707	-2.258831	6.685814	-0.005891	0.006494	0.010214	0.006241	-0.000241	0.004500	36.819226	7.456915	16.509403	0.049121	-0.015703	0.060429	-0.079308	-0.039109	0.054981	-0.044748	-0.002610	0.024270	0.052911	23.030956	51.217655	190.984467	191.010056	0.025378	1.003241	1.006325	0.004223	0.302076	91.322182	203.915451	4.131707	-2.258831	6.685814	4.319301	4.320825	0.011312	4.207482	4.224105	0.020214	85.710953	85.694969	0.322898	4.848601	4.883914	0.050610	-3.320879	-3.314286	0.011836	0.000000	0.000000	0.000000	559.678528	559.681763	0.002212	0.001740	0.001815	0.000074	1524.270630	NaN	NaN	0.684433	0.685151	0.001641
FTIR_000005.LAB	10/22/2024	06:27:25.247	12.127736	78.123108	185.230942	-0.002652	-0.000060	0.002057	1.814584	0.429304	0.738280	16.437486	0.857222	9.696329	0.008113	0.006764	0.009159	0.286250	0.047507	0.117029	1090.328127	187.935440	442.326874	0.651559	0.095507	0.277719	-0.419925	-0.102578	0.163060	0.030925	0.002979	0.025664	-0.134220	19.170092	46.776451	190.984467	191.005798	0.024988	1.003241	1.005811	0.003981	12.127736	78.123108	185.230942	16.437486	0.857222	9.696329	4.042100	4.274370	0.114238	4.107656	4.204697	0.050862	86.030617	85.750916	0.319667	4.858987	4.879760	0.046397	-3.340659	-3.318682	0.015099	0.000000	0.000000	0.000000	559.670166	559.679871	0.005140	0.001854	0.001821	0.000068	1477.280029	NaN	NaN	0.683490	0.684874	0.001617
FTIR_000006.LAB	10/22/2024	06:27:38.074	25.128881	70.552505	170.274139	-0.003584	-0.000563	0.002302	0.827268	0.486156	0.690535	8.989671	2.019001	9.370010	0.018487	0.008439	0.009463	0.824986	0.158576	0.312676	2154.174777	468.826813	845.780029	0.915083	0.212589	0.400288	0.002417	-0.087579	0.154052	0.328670	0.049506	0.125309	0.474196	16.499250	43.281609	190.984467	191.002762	0.024194	1.003241	1.005444	0.003762	25.128881	70.552505	170.274139	8.989671	2.019001	9.370010	3.794613	4.205833	0.209180	4.026302	4.179212	0.081867	85.870789	85.768044	0.295312	4.942077	4.888662	0.048463	-3.325275	-3.319624	0.014007	0.000000	0.000000	0.000000	559.670532	559.678528	0.005867	0.001673	0.001800	0.000084	1255.254395	NaN	NaN	0.684196	0.684777	0.001498
FTIR_000007.LAB	10/22/2024	06:27:50.907	29.925850	65.474174	158.296249	-0.008686	-0.001578	0.003576	0.286996	0.461261	0.643177	4.176786	2.288724	8.708426	0.007715	0.008348	0.008765	1.086484	0.274564	0.437523	2296.692831	697.310059	1015.277588	0.945458	0.304198	0.452192	0.190701	-0.052794	0.173267	0.420233	0.095847	0.175040	2.523192	14.752243	40.374496	191.067642	191.010864	0.032064	1.003241	1.005168	0.003569	29.925850	65.474174	158.296249	4.176786	2.288724	8.708426	3.708234	4.143633	0.261641	3.997254	4.156467	0.099415	86.070580	85.805855	0.293585	4.893608	4.889280	0.044902	-3.345055	-3.322803	0.015780	0.000000	0.000000	0.000000	559.665161	559.676819	0.007198	0.001669	0.001784	0.000090	1208.755981	NaN	NaN	0.683367	0.684601	0.001474
FTIR_000008.LAB	10/22/2024	06:28:03.769	30.290032	61.564827	148.536316	-0.004600	-0.001914	0.003494	-0.154370	0.392857	0.635672	3.820577	2.458930	8.161974	0.027196	0.010442	0.010329	1.253079	0.383288	0.523341	1966.775648	838.361755	1039.711670	0.912244	0.371759	0.469039	0.366149	-0.006245	0.213940	0.428278	0.132784	0.197707	1.513556	13.281278	38.023819	191.079834	191.018524	0.037791	1.003241	1.004954	0.003400	30.290032	61.564827	148.536316	3.820577	2.458930	8.161974	3.674402	4.091497	0.290453	3.985744	4.137498	0.109025	86.550079	85.888550	0.370081	4.831291	4.882837	0.046236	-3.327472	-3.323321	0.014843	0.000000	0.000000	0.000000	559.667908	559.675842	0.007363	0.001598	0.001763	0.000105	1179.291992	NaN	NaN	0.683879	0.684520	0.001400
FTIR_000009.LAB	10/22/2024	06:28:16.573	29.531635	58.361504	140.407257	-0.007582	-0.002481	0.003750	-0.051130	0.348459	0.615543	2.547770	2.467814	7.695234	0.032539	0.012652	0.011986	1.298615	0.474821	0.572046	1811.620804	935.687683	1027.430054	0.942726	0.428855	0.477655	0.073233	0.001703	0.203264	0.442241	0.163730	0.210526	2.516846	12.204835	36.010448	191.029938	191.019669	0.035813	1.003241	1.004783	0.003251	29.531635	58.361504	140.407257	2.547770	2.467814	7.695234	3.655648	4.047912	0.306571	3.978528	4.121601	0.114424	86.230415	85.922737	0.365280	4.969773	4.891531	0.051537	-3.338462	-3.324836	0.014791	0.000000	0.000000	0.000000	559.665405	559.674805	0.007689	0.001724	0.001759	0.000100	1166.877930	NaN	NaN	0.683279	0.684396	0.001377
